"Date","User","WinLose","YourPoints","PossiblePoints","Percentage","TimeInSeconds","Difficulty","Rows","Bombs","Squares","BombSqaureRatio"
"","","","","","","","","","","",""
"10/25/2020 11:18:14","Chris","Win","52","52","100.00%","3.6","Easy","3","1","9","11.11%"
"10/25/2020 11:18:23","Chris","Lose","4","32","12.50%","0.9","Easy","3","3","9","44.44%"
"10/25/2020 11:18:36","Chris","Win","35","35","100.00%","3.2","Easy","3","1","9","55.56%"
"10/25/2020 11:18:57","Chris","Win","36","36","100.00%","3.4","Easy","3","1","9","66.67%"
"10/25/2020 11:19:51","Chris","Win","49","49","100.00%","2.7","Easy","3","1","9","11.11%"
"10/25/2020 11:20:02","Chris","Win","36","36","100.00%","2.5","Easy","3","1","9","22.22%"
"10/25/2020 11:20:24","Chris","Lose","8","57","14.04%","0.9","Easy","3","1","9","11.11%"
"10/25/2020 11:30:07","Chris","Quit","3","44","6.82%","4.5","Easy","3","1","9","0.00%"
"10/25/2020 11:30:21","Chris","Quit","6","47","12.77%","1.1","Easy","3","0","9","0.00%"
"10/25/2020 11:38:59","Player1","Quit","1","41","2.44%","1.4","Medium","3","1","9","0.00%"
"10/25/2020 14:03:07","Chris","Quit","4","38","10.53%","126.4","Easy","3","0","9","0.00%"
"10/25/2020 17:01:34","Chris","Lose","20","36","55.56%","24.7","Easy","3","1","9","11.11%"
"10/25/2020 17:02:50","Chris","Lose","24","36","66.67%","1.8","Easy","3","1","9","11.11%"
"10/25/2020 17:02:59","Chris","Lose","28","53","52.83%","1.9","Easy","3","1","9","22.22%"
"10/25/2020 17:03:08","Chris","Lose","18","48","37.50%","1.6","Easy","3","1","9","33.33%"
"10/25/2020 17:03:28","Chris","Lose","30","34","88.24%","1.7","Easy","3","3","9","33.33%"
"10/25/2020 17:03:31","Chris","Lose","4","22","18.18%","2.3","Easy","3","3","9","33.33%"
"10/25/2020 18:43:57","Chris","Lose","34","52","65.38%","2.1","Easy","3","1","9","11.11%"
"10/25/2020 18:43:59","Chris","Lose","4","34","11.76%","1.6","Easy","3","1","9","11.11%"
"10/27/2020 22:23:46","Carlos","Lose","32","102","31.37%","70.7","Medium","5","5","25","20.00%"
"10/27/2020 22:24:41","Carlos","Lose","129","140","92.14%","40.6","Medium","5","3","25","32.00%"
"10/27/2020 22:26:47","Carlos","Win","155","155","100.00%","104.5","Medium","5","4","25","48.00%"
"10/27/2020 22:28:01","Carlos","Win","48","48","100.00%","6.9","Medium","3","1","9","11.11%"
"10/27/2020 22:28:17","Carlos","Win","23","23","100.00%","4.8","Medium","3","2","9","33.33%"
"10/27/2020 22:32:05","Chris","Win","1139","1139","100.00%","178.5","Easy","15","19","225","8.44%"
"10/27/2020 22:32:43","Chris","Win","89","89","100.00%","6.8","Easy","4","1","16","6.25%"
"10/27/2020 22:33:11","Chris","Win","80","80","100.00%","5.5","Easy","4","1","16","12.50%"
"10/27/2020 22:33:32","Chris","Win","99","99","100.00%","8.5","Easy","4","1","16","18.75%"
"10/27/2020 22:33:45","Chris","Win","43","69","62.32%","12.3","Easy","4","4","16","18.75%"
"10/30/2020 01:51:25","Chris","Lose","57","115","49.57%","41.4","Medium","5","7","25","28.00%"
"10/30/2020 01:51:43","Chris","Win","127","127","100.00%","8.3","Medium","5","1","25","32.00%"
"10/30/2020 01:52:14","Chris","Win","100","100","100.00%","18.6","Medium","5","4","25","48.00%"
"10/30/2020 01:52:31","Chris","Win","124","124","100.00%","7.8","Medium","5","1","25","52.00%"
"10/30/2020 01:52:40","Chris","Lose","4","108","3.70%","1.1","Medium","5","7","25","80.00%"
"10/30/2020 01:52:54","Chris","Lose","13","89","14.61%","6.3","Medium","5","8","25","112.00%"
"10/30/2020 01:55:47","Chris","Lose","94","107","87.85%","147.8","Medium","5","8","25","144.00%"
"10/30/2020 01:56:31","Chris","Win","117","117","100.00%","29.1","Medium","5","3","25","156.00%"
"10/30/2020 01:56:41","Chris","Lose","9","102","8.82%","2.4","Medium","5","7","25","184.00%"
"10/30/2020 01:58:33","Chris","Lose","150","166","90.36%","82.5","Hard","6","10","36","27.78%"
"10/30/2020 01:59:22","Chris","Lose","64","134","47.76%","35.3","Hard","6","8","36","50.00%"
"10/30/2020 02:03:57","Chris","Win","171","171","100.00%","238","Hard","6","9","36","75.00%"
"10/30/2020 02:04:57","Chris","Lose","83","119","69.75%","46.7","Hard","6","12","36","108.33%"
"10/30/2020 02:05:07","Chris","Lose","6","126","4.76%","1.1","Hard","6","13","36","144.44%"
"10/30/2020 02:05:26","Chris","Lose","16","167","9.58%","2.5","Easy","6","5","36","13.89%"
"10/30/2020 02:06:03","Chris","Win","157","157","100.00%","20.9","Easy","6","2","36","19.44%"
"10/30/2020 02:06:27","Chris","Win","181","181","100.00%","12.1","Easy","6","2","36","25.00%"
"10/30/2020 02:06:44","Chris","Lose","26","162","16.05%","5.7","Easy","6","5","36","38.89%"
"10/30/2020 02:07:57","Chris","Win","174","174","100.00%","45.5","Medium","6","5","36","13.89%"
"10/30/2020 02:08:27","Chris","Win","167","167","100.00%","17.9","Medium","6","4","36","25.00%"
"10/30/2020 02:09:29","Chris","Lose","151","185","81.62%","47","Medium","6","9","36","50.00%"
"10/30/2020 02:10:01","Chris","Win","177","177","100.00%","18.4","Medium","6","5","36","63.89%"
"10/30/2020 02:12:05","Chris","Win","152","152","100.00%","91.2","Medium","6","7","36","83.33%"
"10/30/2020 02:12:15","Chris","Lose","7","144","4.86%","2.3","Medium","6","7","36","102.78%"
"10/30/2020 02:12:49","Chris","Win","213","213","100.00%","21.5","Medium","6","4","36","113.89%"
"10/30/2020 02:13:05","Chris","Lose","9","175","5.14%","1.1","Medium","6","6","36","130.56%"
"10/30/2020 02:14:34","Chris","Win","170","170","100.00%","67.6","Medium","6","8","36","152.78%"
"10/30/2020 02:16:27","Chris","Win","133","133","100.00%","90.6","Medium","6","7","36","172.22%"
"10/30/2020 02:16:46","Chris","Lose","9","134","6.72%","1.2","Medium","6","13","36","208.33%"
"10/30/2020 02:17:50","Chris","Win","144","144","100.00%","40.9","Medium","6","6","36","225.00%"
"10/30/2020 02:18:30","Chris","Win","139","139","100.00%","27.4","Medium","6","6","36","241.67%"
"10/30/2020 02:18:44","Chris","Lose","13","163","7.98%","2.2","Medium","6","9","36","266.67%"
"10/30/2020 02:20:18","Chris","Win","157","157","100.00%","71.6","Medium","6","8","36","288.89%"
"10/30/2020 02:20:58","Chris","Win","161","161","100.00%","26.8","Medium","6","4","36","300.00%"
"10/30/2020 02:21:08","Chris","Lose","13","160","8.13%","1.9","Medium","6","10","36","327.78%"
"10/30/2020 02:23:28","Chris","Win","132","132","100.00%","114","Medium","6","9","36","352.78%"
"10/30/2020 02:24:41","Chris","Lose","144","151","95.36%","58.1","Medium","6","9","36","377.78%"
"10/30/2020 02:24:58","Chris","Lose","9","151","5.96%","1.1","Hard","6","11","36","30.56%"
"10/30/2020 02:25:31","Chris","Lose","59","140","42.14%","21.8","Hard","6","11","36","61.11%"
"10/30/2020 02:25:34","Chris","Lose","11","107","10.28%","2.5","Hard","6","13","36","61.11%"
"10/30/2020 02:26:47","Chris","Lose","3","123","2.44%","2.5","Medium","6","6","36","16.67%"
"10/30/2020 02:28:14","Chris","Lose","136","145","93.79%","69.8","Medium","6","10","36","44.44%"
"10/30/2020 02:28:26","Chris","Lose","19","143","13.29%","3.5","Medium","6","10","36","72.22%"
"10/30/2020 02:30:02","Chris","Win","141","141","100.00%","74.3","Medium","6","8","36","94.44%"
"10/30/2020 02:32:34","Chris","Lose","62","130","47.69%","126.9","Medium","6","14","36","133.33%"
"10/30/2020 02:33:28","Chris","Win","152","152","100.00%","36.2","Medium","6","8","36","155.56%"
"10/30/2020 02:34:24","Chris","Lose","142","157","90.45%","41.2","Medium","6","7","36","175.00%"
"10/30/2020 02:35:07","Chris","Lose","128","190","67.37%","29.4","Medium","6","8","36","197.22%"
"10/30/2020 02:36:01","Chris","Win","178","178","100.00%","41.5","Medium","6","4","36","208.33%"
"10/30/2020 02:36:43","Chris","Lose","164","179","91.62%","28.8","Medium","6","2","36","213.89%"
"10/30/2020 02:37:08","Chris","Win","170","170","100.00%","15.8","Medium","6","3","36","222.22%"
"10/30/2020 02:38:21","Chris","Lose","118","144","81.94%","55.8","Medium","6","11","36","252.78%"
"11/14/2020 22:18:08","Chris","Quit","5","162","3.09%","25.4","Medium","6","0","36","0.00%"
"11/20/2020 16:14:07","Chris","Quit","8","40","20.00%","167.2","Easy","3","0","9","0.00%"
"11/20/2020 16:21:23","Player1","Lose","5","46","10.87%","1.1","Easy","3","2","9","22.22%"
"12/18/2020 20:44:23","Chris","Win","187","187","100.00%","12","Medium","6","2","36","5.56%"
"12/18/2020 20:44:29","Chris","Win","47","189","24.87%","4.7","Medium","6","5","36","5.56%"
"12/18/2020 20:45:47","Chris","Lose","47","151","31.13%","56.3","Hard","6","10","36","27.78%"
"12/18/2020 20:46:00","Chris","Lose","56","159","35.22%","5.2","Hard","6","8","36","50.00%"
"12/18/2020 20:46:54","Chris","Lose","11","100","11.00%","6.8","Hard","6","16","36","44.44%"
"12/18/2020 20:46:58","Chris","Lose","5","145","3.45%","2.9","Hard","6","10","36","44.44%"
"12/23/2020 19:39:40","Chris","Lose","11","137","8.03%","34.4","Hard","6","12","36","33.33%"
"12/23/2020 19:57:20","Chris","Lose","114","165","69.09%","239.6","Hard","6","10","36","61.11%"
"12/23/2020 19:57:35","Chris","Lose","34","151","22.52%","5.2","Hard","6","10","36","88.89%"
"12/23/2020 19:58:07","Chris","Lose","15","98","15.31%","17.6","Hard","6","11","36","119.44%"
"12/23/2020 19:58:31","Chris","Lose","16","145","11.03%","13.3","Hard","6","13","36","155.56%"
"12/23/2020 19:58:58","Chris","Lose","36","160","22.50%","16","Hard","6","8","36","177.78%"
"12/23/2020 19:59:59","Chris","Win","187","187","100.00%","38.6","Medium","6","4","36","11.11%"
"12/24/2020 21:03:50","Chris","Lose","3","56","5.36%","2.3","Medium","4","5","16","31.25%"
"12/24/2020 21:04:10","Chris","Win","93","93","100.00%","5.1","Medium","4","1","16","37.50%"
"12/24/2020 21:07:40","Chris","Win","189","189","100.00%","30.1","Medium","6","4","36","11.11%"
"12/24/2020 21:11:07","Chris","Lose","48","153","31.37%","49.9","Medium","6","9","36","25.00%"
"12/24/2020 21:11:19","Chris","Lose","16","135","11.85%","3.1","Medium","6","9","36","50.00%"
"12/24/2020 21:13:07","Chris","Lose","66","184","35.87%","89.4","Medium","6","6","36","66.67%"
"12/24/2020 21:13:17","Chris","Lose","1","130","0.77%","2.3","Medium","6","12","36","100.00%"
"12/24/2020 21:13:27","Chris","Lose","4","147","2.72%","1","Medium","6","10","36","127.78%"
"12/24/2020 21:13:43","Chris","Lose","13","152","8.55%","6.8","Medium","6","7","36","147.22%"
"12/24/2020 21:13:57","Chris","Lose","3","119","2.52%","1.2","Medium","6","10","36","175.00%"
"12/24/2020 21:14:32","Chris","Win","158","158","100.00%","23.5","Medium","6","5","36","188.89%"
"12/24/2020 21:15:00","Chris","Win","178","178","100.00%","15","Medium","6","2","36","194.44%"
"12/24/2020 21:16:54","Chris","Win","162","162","100.00%","89","Medium","6","10","36","222.22%"
"12/24/2020 22:11:41","Chris","Lose","9","156","5.77%","1.1","Medium","6","9","36","25.00%"
"12/24/2020 22:13:38","Chris","Win","150","150","100.00%","37","Medium","6","3","36","33.33%"
"01/10/2021 14:01:02","Chris","Lose","115","167","68.86%","13.8","Medium","6","9","36","0.00%"
"01/10/2021 14:01:17","Chris","Win","204","204","100.00%","10.3","Medium","6","1","36","0.00%"
"01/10/2021 14:01:22","Chris","Lose","2","145","1.38%","1.2","Medium","6","3","36","8.33%"
"01/10/2021 14:02:14","Chris","Win","168","168","100.00%","40.1","Medium","6","5","36","22.22%"
"01/10/2021 14:02:24","Chris","Lose","23","131","17.56%","3.8","Medium","6","10","36","50.00%"
"01/10/2021 14:02:29","Chris","Lose","4","160","2.50%","2.1","Medium","6","7","36","69.44%"
"01/10/2021 14:04:45","Chris","Win","151","151","100.00%","113.4","Medium","6","7","36","88.89%"
"01/10/2021 14:04:58","Chris","Lose","15","141","10.64%","6.6","Medium","6","7","36","108.33%"
"01/10/2021 14:05:11","Chris","Lose","74","161","45.96%","6.9","Medium","6","8","36","130.56%"
"01/10/2021 14:05:18","Chris","Lose","17","122","13.93%","4.2","Medium","6","10","36","158.33%"
"01/10/2021 14:06:04","Chris","Lose","61","152","40.13%","37.8","Medium","6","7","36","177.78%"
"01/10/2021 14:07:10","Chris","Lose","112","159","70.44%","56.6","Medium","6","7","36","197.22%"
"01/10/2021 14:15:11","Chris","Win","159","159","100.00%","398.1","Medium","6","9","36","222.22%"
